Marque,Model,Année,Code Postal,Carburant,Emission Co2,Transmission,nbPortes,nbPlace,Kilométrage,Prix
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 115 BLUEMOTION TECHNOLOGY CONFORTLINE BUSINESS BV6,2017,91,Diesel,110-130,Manuelle,5,5,103 288 ,25 260 
CITROEN C3 AIRCROSS,1.6 BLUEHDI 100 S&S FEEL BV6,2021,74,Diesel,110-130,Manuelle,5,5,20 439 ,17 350 
RENAULT KADJAR,1.6 DCI 130 ENERGY INTENS,2019,6,Diesel,110-130,Manuelle,5,5,50 858 ,22 390 
RENAULT KADJAR,1.5 DCI 115 BLUE INTENS,2019,26,Diesel,110-130,Manuelle,5,5,38 628 ,20 970 
FIAT TIPO 2 CROSS,II CROSS 1.6 MULTIJET 130 S/S PLUS,2020,28,Diesel,110-130,Manuelle,5,5,11 ,27 960 
MERCEDES CLASSE A 4,IV 180 D AMG LINE,2020,80,Diesel,110-130,Manuelle,5,5,10 593 ,40 110 
FORD ECOSPORT,1.5 TDCI 90 FAP TITANIUM,2016,68,Diesel,110-130,Manuelle,5,5,126 242 ,11 780 
VOLVO V50,1.6 D 110 MOMENTUM,2004,28,Diesel,110-130,Manuelle,5,5,185 361 ,8 220 
CUPRA FORMENTOR,2.0 TDI 150 BVM6,2020,17,Diesel,110-130,Manuelle,5,5,7 200 ,39 480 
CITROEN C3 AIRCROSS,1.5 BLUEHDI 100 S&S SHINE BV6,2021,13,Diesel,110-130,Manuelle,5,5,17 295 ,23 160 
BMW X1 F48,(F48) SDRIVE16D M SPORT,2017,81,Diesel,110-130,Manuelle,5,5,58 342 ,29 260 
NISSAN QASHQAI 2,II (2) 1.6 DCI 130 TEKNA+,2019,78,Diesel,110-130,Manuelle,5,5,57 302 ,24 710 
DS DS 3 CROSSBACK,1.5 BLUEHDI 110 S&S SO CHIC,2020,13,Diesel,110-130,Manuelle,5,5,31 511 ,35 650 
BMW SERIE 2 F45 ACTIVE TOURER,(F45) (2) ACTIVE TOURER 218D LUXURY,2017,31,Diesel,110-130,Manuelle,5,5,81 625 ,29 850 
BMW SERIE 3 E91 TOURING,(E91) TOURING 320D 177 LUXE,2009,28,Diesel,110-130,Manuelle,5,5,178 068 ,12 070 
CITROEN C4 CACTUS,(2) 1.5 BLUEHDI 100 S&S SHINE BUSINESS BV6,2021,42,Diesel,110-130,Manuelle,5,5,4 249 ,21 940 
VOLKSWAGEN CADDY 5,V 2.0 TDI 122 STYLE BV6,2019,6,Diesel,110-130,Manuelle,5,5,46 584 ,28 490 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL PACK,2020,91,Diesel,110-130,Manuelle,5,5,3 086 ,23 720 
MERCEDES CLASSE B 2,II 200 CDI BUSINESS,2011,51,Diesel,110-130,Manuelle,5,5,153 877 ,11 320 
BMW SERIE 1 E87 5 PORTES,(E87) (2) 118D 143 CONFORT 5P,2008,74,Diesel,110-130,Manuelle,5,5,171 808 ,7 820 
BMW SERIE 3 GT F34,(F34) 318D 143 LOUNGE,2014,17,Diesel,110-130,Manuelle,5,5,144 126 ,17 820 
BMW SERIE 1 F20 5 PORTES,(F20) (2) 118D 150 BUSINESS DESIGN,2017,69,Diesel,110-130,Manuelle,5,5,49 324 ,23 150 
PEUGEOT 3008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ALLURE PACK,2022,49,Diesel,110-130,Manuelle,5,5,26 220 ,36 460 
RENAULT MEGANE 4 ESTATE,IV (2) ESTATE 1.5 BLUE DCI 115 BUSINESS 21B,2022,76,Diesel,110-130,Manuelle,5,5,23 281 ,25 200 
RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 BUSINESS,2018,59,Diesel,110-130,Manuelle,5,5,22 746 ,21 920 
PEUGEOT 308,(2) 1.6 HDI 92 FAP ACCESS BVM5 5P,2010,85,Diesel,110-130,Manuelle,5,5,194 809 ,7 310 
JEEP COMPASS 2,II 1.6 MJET 120 LONGITUDE BUSINESS,2017,13,Diesel,110-130,Manuelle,5,5,79 207 ,21 640 
SEAT ARONA,1.6 TDI 95 S/S URBAN,2020,44,Diesel,110-130,Manuelle,5,5,33 660 ,19 500 
RENAULT CLIO 5,V 1.5 BLUE DCI 115 INTENS,2021,25,Diesel,110-130,Manuelle,5,5,13 332 ,19 220 
FORD KUGA 2,II 2.0 TDCI 120 S&S 4X2 TITANIUM,2017,35,Diesel,110-130,Manuelle,5,5,152 502 ,14 140 
MERCEDES CLASSE A 4,IV 180 D STYLE LINE,2019,51,Diesel,110-130,Manuelle,5,5,16 344 ,32 550 
TOYOTA VERSO,112 D-4D SKYVIEW 5 PLACES,2015,50,Diesel,110-130,Manuelle,5,5,83 267 ,16 480 
FORD KUGA 2,II (2) 1.5 TDCI 120 S&S 4X2 EXECUTIVE,2017,38,Diesel,110-130,Manuelle,5,5,117 084 ,19 310 
LAND ROVER RANGE ROVER EVOQUE,(2) TD4 150 SE,2015,5,Diesel,110-130,Manuelle,5,5,101 168 ,28 080 
PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.5 BLUEHDI 130 S&S GT,2022,83,Diesel,110-130,Manuelle,5,5,5 165 ,28 260 
JEEP RENEGADE,1.6 MULTIJET S&S 120 LIMITED,2016,40,Diesel,110-130,Manuelle,5,5,126 246 ,13 660 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE PACK,2022,27,Diesel,110-130,Manuelle,5,5,2 360 ,24 720 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE BUSINESS BV6,2021,78,Diesel,110-130,Manuelle,5,5,20 984 ,23 610 
RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,2021,62,Diesel,110-130,Manuelle,5,5,7 503 ,20 210 
RENAULT KADJAR,1.6 DCI 130 ENERGY INTENS 4WD,2017,41,Diesel,110-130,Manuelle,5,5,79 618 ,18 880 
RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,2019,29,Diesel,110-130,Manuelle,5,5,7 631 ,16 180 
DACIA DUSTER 2,II 1.5 DCI 115 BLUE PRESTIGE 4X2,2018,77,Diesel,110-130,Manuelle,5,5,65 119 ,18 430 
FIAT 500 X,(2) 1.6 MULTIJET 120 CITY CROSS,2018,68,Diesel,110-130,Manuelle,5,5,43 250 ,22 370 
DACIA DUSTER,(2) 1.5 DCI 110 BLACK TOUCH 4X2,2016,72,Diesel,110-130,Manuelle,5,5,75 437 ,16 920 
JEEP RENEGADE,1.6 MULTIJET S&S 120 LIMITED ADVANCED TECH,2014,45,Diesel,110-130,Manuelle,5,5,83 196 ,19 080 
RENAULT CAPTUR 2,II 1.5 BLUE DCI 115 BUSINESS,2021,70,Diesel,110-130,Manuelle,5,5,18 761 ,25 850 
RENAULT CAPTUR 2,II 1.5 BLUE DCI 95 BUSINESS,2021,52,Diesel,110-130,Manuelle,5,5,17 097 ,19 130 
FORD KUGA 2,II (2) 2.0 TDCI 150 S&S 4X2 TITANIUM,2019,12,Diesel,110-130,Manuelle,5,5,42 294 ,21 280 
PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 100 ALLURE BV6,2019,69,Diesel,110-130,Manuelle,5,5,29 835 ,29 230 
RENAULT KADJAR,(2) 1.5 DCI BLUE 115 INTENS,2018,82,Diesel,110-130,Manuelle,5,5,40 245 ,24 380 
KIA SPORTAGE 4,IV (2) 1.6 CRDI 115 ISG DESIGN 2WD,2017,88,Diesel,110-130,Manuelle,5,5,57 050 ,24 790 
BMW SERIE 2 F45 ACTIVE TOURER,(F45) (2) ACTIVE TOURER 216D M SPORT,2020,50,Diesel,110-130,Manuelle,5,5,13 084 ,30 660 
SEAT LEON 3,III 2.0 TDI FAP 184 10CV START/STOP FR,2015,30,Diesel,110-130,Manuelle,5,5,100 122 ,18 850 
RENAULT CAPTUR,(2) 1.5 DCI 90 ENERGY INTENS ECO2,2019,26,Diesel,110-130,Manuelle,5,5,32 014 ,16 820 
RENAULT KANGOO 2,II (2) 1.5 BLUE DCI 80 TREND,2020,5,Diesel,110-130,Manuelle,5,5,37 712 ,18 130 
DS DS 3 CROSSBACK,1.5 BLUEHDI 100 PERFORMANCE LINE,2022,38,Diesel,110-130,Manuelle,5,5,5 040 ,27 970 
PEUGEOT 5008,1.6 HDI 115 FAP ACTIVE 5PL,2015,86,Diesel,110-130,Manuelle,5,5,108 380 ,12 580 
RENAULT CAPTUR,(2) 1.5 DCI 90 BUSINESS,2020,8,Diesel,110-130,Manuelle,5,5,33 558 ,16 360 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL PACK,2022,49,Diesel,110-130,Manuelle,5,5,12 ,22 190 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BUSINESS BV6,2022,64,Diesel,110-130,Manuelle,5,5,53 282 ,18 220 
FORD KUGA 2,II (2) 1.5 TDCI 120 S&S 4X2 BUSINESS NAV,2016,49,Diesel,110-130,Manuelle,5,5,57 001 ,22 250 
KIA CEED 3,III 1.6 CRDI 136 ISG IBVM6 MHEV ACTIVE,2022,68,Diesel,110-130,Manuelle,5,5,18 997 ,26 600 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE PACK,2020,31,Diesel,110-130,Manuelle,5,5,13 ,24 450 
PEUGEOT 3008,(2) 2.0 BLUEHDI 150 S&S FELINE,2015,77,Diesel,110-130,Manuelle,5,5,138 603 ,15 100 
VOLVO V40 (2E GENERATION),II (2) 2.0 D2 ADBLUE 120 BUSINESS,2019,91,Diesel,110-130,Manuelle,5,5,120 760 ,19 530 
RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,2021,91,Diesel,110-130,Manuelle,5,5,15 695 ,17 260 
RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 INTENS,2018,42,Diesel,110-130,Manuelle,5,5,19 786 ,24 820 
RENAULT MEGANE 4,IV (2) 1.5 BLUE DCI 115 BUSINESS 21B,2020,26,Diesel,110-130,Manuelle,5,5,4 921 ,23 970 
DACIA DUSTER 2,II 1.5 DCI 115 BLUE CONFORT 4X2 E6U,2022,84,Diesel,110-130,Manuelle,5,5,13 ,25 480 
MERCEDES GLA,(2) 180 D FASCINATION,2018,63,Diesel,110-130,Manuelle,5,5,83 999 ,26 850 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE PACK,2020,51,Diesel,110-130,Manuelle,5,5,19 203 ,19 860 
PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ALLURE PACK,2021,30,Diesel,110-130,Manuelle,5,5,26 640 ,23 990 
DACIA DUSTER,(2) 1.5 DCI 90 FAP LAUREATE 4X2 EURO6,2014,13,Diesel,110-130,Manuelle,5,5,88 636 ,11 490 
OPEL CROSSLAND X,1.5 DIESEL 102 EDITION,2020,68,Diesel,110-130,Manuelle,5,5,28 512 ,16 789 
RENAULT SCENIC 4,IV 1.6 DCI 130 ENERGY BUSINESS,2017,84,Diesel,110-130,Manuelle,5,5,58 638 ,16 990 
FORD KUGA 2,II (2) 1.5 TDCI 120 S&S 4X2 TITANIUM,2017,56,Diesel,110-130,Manuelle,5,5,95 352 ,15 990 
JEEP RENEGADE,1.6 MULTIJET S&S 120 LIMITED,2018,45,Diesel,110-130,Manuelle,5,5,58 459 ,19 900 
CITROEN C3 AIRCROSS,(2) 1.5 BLUEHDI 110 S&S C-SERIES BV6,2021,40,Diesel,110-130,Manuelle,5,5,10 660 ,20 990 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S C-SERIES,2021,49,Diesel,110-130,Manuelle,5,5,14 938 ,16 989 
RENAULT KOLEOS 2,II 1.6 DCI 130 ENERGY INTENS 4X2,2017,9,Diesel,110-130,Manuelle,5,5,90 800 ,18 990 
RENAULT KADJAR,1.6 DCI 130 ENERGY GRAPHITE,2018,51,Diesel,110-130,Manuelle,5,5,66 381 ,16 490 
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE INTENS,2020,1,Diesel,110-130,Manuelle,5,5,22 747 ,19 990 
RENAULT KADJAR,(2) 1.5 DCI BLUE 115 BUSINESS,2019,62,Diesel,110-130,Manuelle,5,5,64 664 ,16 990 
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE BUSINESS,2020,34,Diesel,110-130,Manuelle,5,5,15 897 ,18 490 
RENAULT CAPTUR,(2) 1.5 DCI 90 ENERGY INTENS ECO2,2018,74,Diesel,110-130,Manuelle,5,5,23 576 ,14 980 
VOLVO XC40,D3 ADBLUE 150 BUSINESS BV6,2018,35,Diesel,110-130,Manuelle,5,5,96 640 ,24 490 
RENAULT CLIO 5,V 1.5 BLUE DCI 115 6CV INITIALE PARIS,2020,4,Diesel,110-130,Manuelle,5,5,18 000 ,20 990 
KIA SPORTAGE 4,IV 1.7 CRDI 115 ISG GT LINE 2WD,2017,77,Diesel,110-130,Manuelle,5,5,49 012 ,19 690 
RENAULT KADJAR,1.6 DCI 130 ENERGY BUSINESS,2016,13,Diesel,110-130,Manuelle,5,5,96 624 ,13 990 
RENAULT KANGOO 2,II (2) 1.5 DCI 90 ENERGY ZEN,2014,26,Diesel,110-130,Manuelle,5,5,41 252 ,12 900 
RENAULT CAPTUR,(2) 1.5 DCI 90 BUSINESS,2019,59,Diesel,110-130,Manuelle,5,5,37 574 ,15 290 
PEUGEOT 3008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS,2021,3,Diesel,110-130,Manuelle,5,5,19 473 ,28 999 
DACIA DUSTER,(2) 1.5 DCI 110 FAP AMBIANCE 4X2 EURO6,2014,10,Diesel,110-130,Manuelle,5,5,113 810 ,11 490 
RENAULT KADJAR,1.6 DCI 130 ENERGY INTENS 4WD,2018,78,Diesel,110-130,Manuelle,5,5,39 033 ,18 280 
RENAULT CLIO 5,V 1.5 BLUE DCI 115 6CV INTENS,2020,24,Diesel,110-130,Manuelle,5,5,8 252 ,17 990 
PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 100 ACTIVE BV6,2020,37,Diesel,110-130,Manuelle,5,5,33 992 ,23 450 
PEUGEOT 308,(2) 1.6 HDI 92 FAP ACTIVE BVM5,2014,47,Diesel,110-130,Manuelle,5,5,138 000 ,8 900 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE PACK,2021,81,Diesel,110-130,Manuelle,5,5,10 255 ,20 380 
DACIA DUSTER 2,II 1.5 DCI 115 BLUE PRESTIGE 4X2 E6U,2022,40,Diesel,110-130,Manuelle,5,5,10 ,21 500 
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE BUSINESS,2020,59,Diesel,110-130,Manuelle,5,5,13 613 ,18 599 
OPEL CROSSLAND,(2) 1.5 DIESEL 110 ELEGANCE BUSINESS,2021,52,Diesel,110-130,Manuelle,5,5,6 ,24 490 
BMW SERIE 1 F20 5 PORTES,(F20) (2) 116D 116 LOUNGE 5P,2018,25,Diesel,110-130,Manuelle,5,5,55 901 ,18 989 
DACIA DUSTER 2,II 1.5 DCI 115 BLUE PRESTIGE 4X2,2018,6,Diesel,110-130,Manuelle,5,5,28 479 ,16 999 
VOLKSWAGEN TIGUAN,(2) 2.0 TDI 110 BLUEMOTION TECHNOLOGY LOUNGE,2015,34,Diesel,110-130,Manuelle,5,5,62 672 ,17 290 
NISSAN QASHQAI 2,II (2) 1.6 DCI 130 N-CONNECTA,2018,28,Diesel,110-130,Manuelle,5,5,88 176 ,17 590 
CITROEN C4 CACTUS,(2) 1.5 BLUEHDI 100 S&S SHINE BV6,2020,68,Diesel,110-130,Manuelle,5,5,46 036 ,16 690 
RENAULT KANGOO 2,II (2) 1.5 DCI 90 ENERGY ZEN EURO6,2017,13,Diesel,110-130,Manuelle,5,5,37 560 ,16 990 
NISSAN JUKE,1.5 DCI 110 FAP TEKNA,2012,54,Diesel,110-130,Manuelle,5,5,99 655 ,9 590 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,2020,57,Diesel,110-130,Manuelle,5,5,27 600 ,16 900 
HYUNDAI TUCSON 3,III 1.7 CRDI 115 CREATIVE,2018,63,Diesel,110-130,Manuelle,5,5,56 095 ,17 990 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL PACK,2021,56,Diesel,110-130,Manuelle,5,5,17 197 ,18 590 
PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ALLURE PACK,2021,56,Diesel,110-130,Manuelle,5,5,28 593 ,23 990 
BMW X1 F48,(F48) SDRIVE20D BUSINESS DESIGN,2017,25,Diesel,110-130,Manuelle,5,5,86 748 ,26 990 
RENAULT MEGANE 4,IV (2) 1.5 BLUE DCI 115 INTENS,2021,6,Diesel,110-130,Manuelle,5,5,28 379 ,20 999 
RENAULT MEGANE 4 ESTATE,IV (2) ESTATE 1.5 DCI 115 BLUE BUSINESS,2020,28,Diesel,110-130,Manuelle,5,5,35 740 ,17 990 
DACIA DUSTER,(2) 1.5 DCI 110 BLACK TOUCH 4X2,2017,35,Diesel,110-130,Manuelle,5,5,88 275 ,12 900 
NISSAN QASHQAI 2,II (2) 1.6 DCI 130 TEKNA,2017,95,Diesel,110-130,Manuelle,5,5,53 665 ,18 490 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE PACK,2021,73,Diesel,110-130,Manuelle,5,5,10 080 ,19 990 
MINI COUNTRYMAN 2,II (2) COUNTRYMAN F60 2.0 150 COOPER D NORTHWOOD,2020,3,Diesel,110-130,Manuelle,5,5,64 131 ,28 490 
PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S GT LINE,2020,83,Diesel,110-130,Manuelle,5,5,8 100 ,27 390 
JAGUAR F-PACE,2.0 D 180 PRESTIGE,2016,76,Diesel,110-130,Manuelle,5,5,97 700 ,25 950 
PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S GT PACK,2021,41,Diesel,110-130,Manuelle,5,5,7 732 ,25 499 
FORD FIESTA 6,VI 1.5 TDCI 85 S&S 4CV TITANIUM 5P,2020,69,Diesel,110-130,Manuelle,5,5,23 411 ,14 790 
DACIA DUSTER 2,II 1.5 DCI 115 BLUE ESSENTIEL 4X2,2019,72,Diesel,110-130,Manuelle,5,5,28 705 ,16 590 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE BV6,2021,31,Diesel,110-130,Manuelle,5,5,10 ,20 480 
RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 INTENS,2019,92,Diesel,110-130,Manuelle,5,5,21 329 ,21 990 
PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 110 S&S ACTIVE,2021,1,Diesel,110-130,Manuelle,5,5,1 200 ,23 680 
MERCEDES GLA,200 CDI SENSATION,2014,36,Diesel,110-130,Manuelle,5,5,101 581 ,18 990 
FORD FIESTA 6,VI 1.5 TDCI 85 S&S TITANIUM 5P,2020,31,Diesel,110-130,Manuelle,5,5,21 451 ,17 500 
DACIA DUSTER 2,II 1.5 DCI 95 BLUE ESSENTIEL 4X2,2020,38,Diesel,110-130,Manuelle,5,5,11 800 ,17 980 
PEUGEOT 508 (2E GENERATION),II 1.5 BLUEHDI 130 S&S 7CV ALLURE,2020,35,Diesel,110-130,Manuelle,5,5,23 190 ,29 900 
FIAT TIPO 2 SW,II SW 1.6 MULTIJET 120 S/S MIRROR,2019,84,Diesel,110-130,Manuelle,5,5,24 000 ,15 900 
OPEL CROSSLAND X,1.5 DIESEL 102 ELEGANCE,2020,13,Diesel,110-130,Manuelle,5,5,18 906 ,19 990 
RENAULT MEGANE 4 ESTATE,IV (2) ESTATE 1.5 BLUE DCI 115 INTENS,2020,34,Diesel,110-130,Manuelle,5,5,14 140 ,19 690 
VOLVO V40 (2E GENERATION),II (2) 2.0 D2 ADBLUE 120 BUSINESS,2018,61,Diesel,110-130,Manuelle,5,5,61 000 ,16 990 
BMW SERIE 2 F45 ACTIVE TOURER,(F45) (2) ACTIVE TOURER 216D M SPORT,2018,29,Diesel,110-130,Manuelle,5,5,54 219 ,21 890 
RENAULT CAPTUR 2,II 1.5 BLUE DCI 95 BUSINESS,2020,69,Diesel,110-130,Manuelle,5,5,28 000 ,18 590 
AUDI Q2,1.6 TDI 116 S LINE,2017,31,Diesel,110-130,Manuelle,5,5,46 301 ,23 966 
SSANGYONG TIVOLI,160 E-XDI LUXURY 2WD M/T,2015,6,Diesel,110-130,Manuelle,5,5,82 550 ,11 990 
RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,2021,83,Diesel,110-130,Manuelle,5,5,14 500 ,14 490 
OPEL ASTRA 5 SPORTS TOURER,V (2) SPORTS TOURER 1.5 DIESEL 122 EDITION BUSINESS,2020,36,Diesel,110-130,Manuelle,5,5,31 750 ,17 990 
MINI COUNTRYMAN 2,II ONE D 116 EDITION OAKWOOD BV6,2018,73,Diesel,110-130,Manuelle,5,5,83 850 ,21 850 
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 150 BLUEMOTION TECHNOLOGY CONFORTLINE BV6,2019,64,Diesel,110-130,Manuelle,5,5,60 725 ,26 190 
FORD C-MAX 2,II (2) 1.5 TDCI 95 S&S TREND BV6,2015,51,Diesel,110-130,Manuelle,5,5,115 150 ,9 499 
RENAULT KADJAR,(2) 1.5 DCI BLUE 115 BUSINESS,2019,62,Diesel,110-130,Manuelle,5,5,22 762 ,19 090 
CITROEN C4 AIRCROSS,1.6 E-HDI 115 CONFORT 4X2 BV6,2015,38,Diesel,110-130,Manuelle,5,5,140 000 ,9 990 
FORD C-MAX 2,II 1.6 TDCI 115 FAP TITANIUM BVM6,2014,68,Diesel,110-130,Manuelle,5,5,125 746 ,8 990 
VOLKSWAGEN CADDY 5,V 2.0 TDI 122 LIFE BV6,2021,69,Diesel,110-130,Manuelle,5,5,9 800 ,29 990 
PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S GT PACK,2021,22,Diesel,110-130,Manuelle,5,5,6 000 ,29 480 
RENAULT KADJAR,(2) 1.5 DCI BLUE 115 INTENS,2019,6,Diesel,110-130,Manuelle,5,5,28 310 ,19 499 
PEUGEOT 3008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S STYLE,2021,52,Diesel,110-130,Manuelle,5,5,3 000 ,30 920 
NISSAN JUKE,1.5 DCI 110 FAP TEKNA,2011,6,Diesel,110-130,Manuelle,5,5,88 700 ,10 950 
CITROEN BERLINGO 3 MULTISPACE,III TAILLE M 1.5 BLUEHDI 100 FEEL,2019,31,Diesel,110-130,Manuelle,5,5,63 258 ,18 990 
RENAULT CAPTUR 2,II 1.5 BLUE DCI 115 BUSINESS,2020,83,Diesel,110-130,Manuelle,5,5,22 193 ,20 900 
DACIA DUSTER,(2) 1.5 DCI 90 SILVER LINE 4X2,2017,62,Diesel,110-130,Manuelle,5,5,88 828 ,11 675 
RENAULT MEGANE 4 ESTATE,IV ESTATE 1.5 DCI 95 BLUE BUSINESS,2020,77,Diesel,110-130,Manuelle,5,5,12 196 ,17 450 
AUDI Q3,(2) 2.0 TDI 150 AMBIENTE QUATTRO,2017,70,Diesel,110-130,Manuelle,5,5,59 765 ,24 990 
JEEP RENEGADE,1.6 MULTIJET S&S 120 BROOKLYN LIMITED,2018,26,Diesel,110-130,Manuelle,5,5,99 327 ,15 974 
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE BUSINESS,2020,1,Diesel,110-130,Manuelle,5,5,11 809 ,20 490 
MINI COUNTRYMAN 2,II COOPER D BUSINESS EXECUTIVE 150 BV6,2018,34,Diesel,110-130,Manuelle,5,5,89 663 ,21 290 
RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,2020,13,Diesel,110-130,Manuelle,5,5,11 402 ,15 990 
FORD FOCUS 3 ST,III (2) 2.0 TDCI 185 S&S ST 5P,2017,31,Diesel,110-130,Manuelle,5,5,59 850 ,19 490 
CITROEN C3 AIRCROSS,(2) 1.6 BLUEHDI 110 S&S FEEL PACK BUSINESS BV6,2021,49,Diesel,110-130,Manuelle,5,5,10 ,22 589 
MINI MINI 3 CLUBMAN,III CLUBMAN COOPER D 150 KENSINGTON BV6,2018,90,Diesel,110-130,Manuelle,5,5,35 279 ,23 990 
LAND ROVER RANGE ROVER EVOQUE,(2) ED4 150 SE,2016,94,Diesel,110-130,Manuelle,5,5,30 882 ,26 987 
BMW X1 F48,(F48) (2) SDRIVE18D M SPORT,2019,26,Diesel,110-130,Manuelle,5,5,48 927 ,29 990 
FORD FIESTA 6 ACTIVE,VI 1.5 TDCI 85 ACTIVE,2020,81,Diesel,110-130,Manuelle,5,5,13 004 ,15 990 
DACIA SANDERO 2 STEPWAY,II (2) STEPWAY 1.5 DCI 95 BLUE,2019,83,Diesel,110-130,Manuelle,5,5,38 447 ,14 960 
PEUGEOT 3008 (2E GENERATION),II 2.0 BLUEHDI 150 S&S GT LINE,2017,22,Diesel,110-130,Manuelle,5,5,74 148 ,28 290 
DACIA DUSTER,(2) 1.5 DCI 110 BLACK TOUCH 4X2,2018,84,Diesel,110-130,Manuelle,5,5,92 474 ,15 100 
DACIA DUSTER,(2) 1.5 DCI 110 BLACK TOUCH 4X4,2016,25,Diesel,110-130,Manuelle,5,5,114 735 ,16 000 
RENAULT MEGANE 4,IV (2) 1.5 BLUE DCI 115 BUSINESS,2021,33,Diesel,110-130,Manuelle,5,5,20 338 ,21 250 
FORD KUGA 2,II (2) 2.0 TDCI 150 S&S 4X2 ST LINE,2019,69,Diesel,110-130,Manuelle,5,5,68 397 ,24 340 
KIA SPORTAGE 4,IV (2) 1.6 CRDI 115 ISG ACTIVE 2WD,2018,72,Diesel,110-130,Manuelle,5,5,39 060 ,26 020 
BMW X2 F39,(F39) SDRIVE18D M SPORT X,2019,39,Diesel,110-130,Manuelle,5,5,113 983 ,35 680 
RENAULT CAPTUR 2,II 1.5 BLUE DCI 115 ZEN,2021,30,Diesel,110-130,Manuelle,5,5,44 329 ,20 890 
MINI MINI 3 CLUBMAN,III CLUBMAN 2.0 COOPER D 150 RED HOT CHILI BV6,2018,10,Diesel,110-130,Manuelle,5,5,44 945 ,27 830 
RENAULT TALISMAN,1.7 DCI 150 BLUE BUSINESS,2019,78,Diesel,110-130,Manuelle,5,5,45 228 ,21 370 
PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S 7CV ACTIVE BUSINESS,2018,85,Diesel,110-130,Manuelle,5,5,107 431 ,20 650 
CITROEN C3 AIRCROSS,1.5 BLUEHDI 110 S&S SHINE BV6,2020,49,Diesel,110-130,Manuelle,5,5,33 757 ,20 650 
FORD KUGA 2,II (2) 2.0 TDCI 150 S&S 4X2 TITANIUM,2018,16,Diesel,110-130,Manuelle,5,5,78 593 ,20 110 
RENAULT KADJAR,(2) 1.5 DCI BLUE 115 INTENS,2018,35,Diesel,110-130,Manuelle,5,5,27 703 ,22 780 
RENAULT GRAND SCENIC 4,IV 1.6 DCI 130 ENERGY INTENS 5PL,2019,63,Diesel,110-130,Manuelle,5,5,55 680 ,24 340 
BMW SERIE 1 F20 5 PORTES,(F20) (2) 116D 5CV SPORT 5P,2019,81,Diesel,110-130,Manuelle,5,5,86 915 ,23 070 
CITROEN DS4,1.6 E-HDI 115 EXECUTIVE BVM6,2012,67,Diesel,110-130,Manuelle,5,5,157 437 ,9 700 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,2019,13,Diesel,110-130,Manuelle,5,5,40 521 ,15 380 
