Marque;Model;Année;Kilométrage;Code Postal;Prix
PEUGEOT 3008 (2E GENERATION);II (2) BLUEHDI 130 S&S GT PACK EAT8;2020;11;45;40550
RENAULT TWINGO 3;III (2) 0.9 TCE 95 INTENS;2020;45208;31;13070
CITROEN C3 (3E GENERATION);III (2) 1.2 PURETECH 110 S&S 6CV SHINE BV6;2021;68;66;19930
CITROEN C3 (3E GENERATION);III 1.2 PURETECH 82 S&S SHINE;2018;65751;33;16920
AUDI A3 (3E GENERATION) CABRIOLET;III CABRIOLET 1.8 TFSI 180 AMBITION LUXE S TRONIC;2015;67158;92;33190
AUDI Q3;2.0 TDI 140 S LINE;2011;75753;55;20500
CITROEN C3 AIRCROSS;1.6 BLUEHDI 100 S&S FEEL BUSINESS BV6;2020;51307;66;17100
MERCEDES CLASSE B 2;II (2) 220 D FASCINATION 4MATIC 7G-DCT;2016;103954;57;23300
JAGUAR I-PACE;EV400 AWD HSE;2018;41928;95;61040
AUDI A6 (5E GENERATION) AVANT;V AVANT 40 TDI 204 S TRONIC;2022;24336;1;64230
PEUGEOT PARTNER 2 FOURGON;II (3) 1.6 BLUEHDI 75 STANDARD PREMIUM;2016;109123;35;12140
VOLKSWAGEN TIGUAN 2;II 2.0 TDI 190 BLUEMOTION TECHNOLOGY CARAT 4MOTION DSG7;2019;106188;57;31840
MERCEDES GLC;220 D FASCINATION 4MATIC;2018;102545;69;39790
OPEL ASTRA 5 SPORTS TOURER;V (2) SPORTS TOURER 1.5 DIESEL 122 EDITION BUSINESS AUTOMATIQUE;2021;7684;26;22580
OPEL CORSA 5;V 1.4 90 EDITION 129G 3P;2017;59043;69;11320
OPEL ADAM;1.4 TWINPORT 87 S/S UNLIMITED;2019;26489;37;12980
PEUGEOT 3008;(2) 1.6 HDI 115 FAP ALLURE;2013;183003;80;13400
TOYOTA RAV 4 (3E GENERATION);III (3) 150 D-4D FAP 2WD LIMITED EDITION;2011;161353;78;12860
SKODA SUPERB 3 COMBI;III (2) COMBI 2.0 TDI SCR 150 8CV SPORTLINE DSG7;2022;9990;33;46600
CADILLAC SERIE 62 COUPE;COUPE;1956;144461;67;46330
MERCEDES GLA;(2) 220 D SENSATION 7G-DCT;2019;96193;60;27800
RENAULT CLIO 4;IV (2) 1.2 TCE 120 ENERGY INITIALE PARIS EDC;2019;37906;77;18340
MERCEDES GLE COUPE 2;II COUPE 350 E 4MATIC AMG LINE;2022;19656;92;128580
MAZDA MX5 (4E GENERATION);IV 1.5 SKYACTIV-G 131 DYNAMIQUE;2015;46170;71;22780
LAND ROVER RANGE ROVER SPORT 2;II (2) 3.0 SDV6 306 20CV HSE AUTO;2016;191959;95;46720
RENAULT SCENIC 4;IV 1.5 DCI 110 ENERGY INTENS EDC;2018;65104;91;20000
CITROEN C4 CACTUS;1.6 BLUEHDI 100 S&S SHINE;2018;69323;24;16630
OPEL CROSSLAND X;1.5 DIESEL 102 ELEGANCE BUSINESS;2018;34926;27;19360
CITROEN JUMPY 3 FOURGON;III TAILLE M BLUEHDI 120 S&S BVM6 CLUB BV6;2016;82003;24;21980
